Temperatura,Personas,Electrodomesticos,Consumo_kWh
20.646438384663398,1.0,18.0,48.470057066894036
22.5242402630487,4.0,19.0,64.00248626462361
23.25263907861786,4.0,11.0,49.34684461081477
17.374000173609616,5.0,16.0,62.16806387498267
24.83571830142953,5.0,11.0,59.25488018661272
16.79909891958531,4.0,19.0,55.08301451383828
21.231620242710314,1.0,15.0,45.63549072471883
25.949259051734096,1.0,13.0,46.55349981174517
15.86892076779073,1.0,13.0,44.24047137000438
17.25996506143271,2.0,17.0,45.97207327793896
19.151730290349676,4.0,15.0,57.68288703140392
17.114248926511138,5.0,19.0,62.27652838473773
,4.0,11.0,43.65961983149758
21.83144354273257,4.0,14.0,55.617886299812646
16.83570377416935,1.0,18.0,46.41938986145828
27.712136883415766,1.0,11.0,45.670797115714315
18.951109961562636,5.0,6.0,41.07367172994241
29.34708193438335,2.0,10.0,40.89817256551759
29.463394183691666,5.0,7.0,56.8680861840001
25.53562613944609,4.0,,61.362641126072376
12.707548716741943,5.0,16.0,52.91183751821027
15.146881144359476,5.0,17.0,61.71297034437299
20.349468060396987,1.0,8.0,35.674992009125376
14.423550270638977,1.0,8.0,27.24063440192426
28.000300929107752,3.0,17.0,60.80402142326611
,5.0,7.0,
23.346922706817757,3.0,10.0,53.934127981318376
19.767878121764063,1.0,17.0,46.67121057811269
27.571568000460772,5.0,12.0,56.96551588509603
15.095987009112502,5.0,17.0,59.74805814709007
27.07712258777716,4.0,5.0,44.90773847957818
23.120406416438513,2.0,17.0,62.22455378481639
18.77724442864649,1.0,8.0,35.807788624855895
25.30765830183847,5.0,13.0,63.84336961453173
28.46482422569184,4.0,17.0,70.77262176098333
17.52343977345767,1.0,12.0,37.74428016897469
19.158446734403412,2.0,9.0,42.08025231376869
11.441908210387469,3.0,5.0,23.884555425930152
17.908461406376944,4.0,8.0,40.727106300493105
17.18808193834777,3.0,11.0,36.009462153388505
22.62250836499568,1.0,13.0,42.36438232552159
22.54254347356536,5.0,18.0,57.72876250697924
19.803493684922103,4.0,18.0,61.221306849557685
18.43219813389494,4.0,14.0,51.35088926486408
26.670904796148534,1.0,7.0,37.71185220213203
22.293277661582962,5.0,5.0,47.60903204282188
30.04857139713953,5.0,14.0,64.39821964519481
26.299533719153292,3.0,16.0,58.478862984573475
17.073984815630887,3.0,15.0,53.64689377547831
17.208158396109432,5.0,5.0,35.05287829265005
24.245543254351393,4.0,8.0,52.05202773000399
17.287687199794764,2.0,15.0,52.36668704999484
22.794547236685137,3.0,9.0,44.661211312101564
23.94037808451237,3.0,5.0,36.20906881716405
24.186688817020073,2.0,13.0,47.16939406186057
24.091147755871354,4.0,5.0,41.17331748764699
18.339075035265356,4.0,9.0,47.77981325193803
14.85858516881599,1.0,11.0,30.81740013846598
11.953913229973544,4.0,5.0,29.206378753582236
,2.0,7.0,39.05660137622529
31.01976184519514,5.0,12.0,65.3246164355818
,3.0,9.0,31.417063323928648
28.839255058290227,5.0,11.0,57.21122794406113
12.706302894079055,5.0,15.0,53.25404702228868
15.830246361525143,4.0,5.0,35.57052619379117
19.462151182313793,1.0,12.0,41.52889581795149
29.03585749078572,1.0,10.0,43.9186412502233
17.29451473644858,4.0,17.0,58.55460434728395
26.36752366411492,5.0,14.0,64.23894597285113
27.675500968755887,3.0,14.0,54.402594989777675
27.829922004935565,1.0,20.0,60.08143299044142
22.246072461668135,4.0,18.0,65.86875801018421
24.554733713426284,5.0,6.0,43.94260975563139
25.156496951743414,5.0,,67.42988435702891
26.43851032917899,2.0,20.0,66.76635660849641
22.288258183339956,3.0,,
20.352277809926765,4.0,20.0,62.927081427333306
7.839606564976801,5.0,13.0,45.95225082589289
16.087231690814015,1.0,7.0,28.500151958090786
21.725769899560955,4.0,10.0,51.02216493930119
28.241759150045013,2.0,20.0,65.6966243502813
34.551714578340125,,6.0,53.18409568998917
21.143317703944987,3.0,13.0,47.96423477437193
19.709724312497542,3.0,17.0,51.44190051281191
15.306092405348103,3.0,11.0,43.14944902469739
28.600314609849562,1.0,11.0,50.29417330625073
14.953353614451785,4.0,13.0,51.1835952948202
16.508513901962974,1.0,15.0,45.95895615085672
